Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
2,2.006757259,1.310313463,0.859832636,0.946902655,0.636904762,0.761565836,0.918415099,0.872952776,0.859832636,0.851825712
3,2.51118803,1.073696613,0.847280335,0.904347826,0.626506024,0.740213523,0.900676709,0.855298081,0.847280335,0.839190842
4,1.762553453,0.799461365,0.857740586,0.901960784,0.613333333,0.73015873,0.883630478,0.863385718,0.857740586,0.849041823
,10.61421943,,0.849372385,0.932424718,0.602378418,0.731070646,,,,
SVM,,,,,,,,,,
0,1.979728699,1.202522755,0.887029289,0.914285714,0.752941176,0.825806452,0.917300215,0.889448498,0.887029289,0.884186123
1,2.576891422,1.115955114,0.876569038,0.892307692,0.720496894,0.797250859,0.893005035,0.877971044,0.876569038,0.872871499
2,2.490329027,0.893611431,0.884937238,0.889655172,0.767857143,0.82428115,0.927455081,0.885263102,0.884937238,0.882767581
3,1.819130421,0.889657497,0.861924686,0.837837838,0.746987952,0.789808917,0.883350482,0.860610858,0.861924686,0.859902749
4,1.808605909,0.930760622,0.882845188,0.850746269,0.76,0.802816901,0.87455506,0.881352215,0.882845188,0.880939753
,10.67468548,,0.878661088,0.876966537,0.749656633,0.807992856,,,,
RandomForest,,,,,,,,,,
0,10.23071122,1.549900293,0.868200837,0.836477987,0.782352941,0.808510638,0.896679238,0.867106945,0.868200837,0.86715364
1,10.14415765,1.598343372,0.853556485,0.818181818,0.726708075,0.769736842,0.861987882,0.851655757,0.853556485,0.851242446
2,11.15495729,1.533325434,0.868200837,0.814371257,0.80952381,0.811940299,0.9108507,0.868027751,0.868200837,0.86811024
3,10.45656633,1.751391888,0.811715481,0.763888889,0.662650602,0.709677419,0.827273451,0.808565227,0.811715481,0.808240501
4,11.39959908,2.032349348,0.870292887,0.775,0.826666667,0.8,0.849661634,0.873289519,0.870292887,0.871381012
,53.38599157,,0.854393305,0.80158399,0.761580419,0.77997304,,,,
LogisticRegression,,,,,,,,,,
0,1.553812742,0.742044926,0.830543933,0.940594059,0.558823529,0.701107011,0.918330099,0.850685733,0.830543933,0.817505761
1,1.461063147,0.709134579,0.828451883,0.954022989,0.51552795,0.669354839,0.888673166,0.852217258,0.828451883,0.811823096
2,1.511931419,0.710098267,0.874476987,0.965517241,0.666666667,0.788732394,0.939022716,0.887554593,0.874476987,0.867841989
3,1.536894798,0.725059986,0.828451883,0.881818182,0.584337349,0.702898551,0.87887853,0.836572841,0.828451883,0.818112197
4,1.497996569,0.743042946,0.861924686,0.928571429,0.606666667,0.733870968,0.878877594,0.871044767,0.861924686,0.852519611
,7.561698675,,0.844769874,0.93410478,0.586404432,0.719192753,,,,
