Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,0.3670182228088379,0.14460968971252441,0.8870292887029289,0.9603174603174603,0.711764705882353,0.8175675675675675,0.9486316417737435,0.8961903101547453,0.8870292887029289,0.8823985072939049
1,0.32613301277160645,0.15258240699768066,0.9016736401673641,0.9596774193548387,0.7391304347826086,0.8350877192982455,0.939687627740802,0.9077361820598402,0.9016736401673641,0.8980019873027479
2,0.37101292610168457,0.14461135864257812,0.9246861924686193,0.9459459459459459,0.8333333333333334,0.8860759493670887,0.9639142741102241,0.925974662376336,0.9246861924686193,0.923479622371696
3,0.3251345157623291,0.14560604095458984,0.891213389121339,0.9191176470588235,0.7530120481927711,0.827814569536424,0.9224965114131704,0.8936611310456797,0.891213389121339,0.8883051863880861
4,0.3291299343109131,0.14361333847045898,0.8849372384937239,0.9130434782608695,0.7,0.7924528301886793,0.9230517359600825,0.8876472065153495,0.8849372384937239,0.8802527894478823


Scenario 2,,,,,,,,,,
NaiveBayes,,,,,,,,,,
0,1.1965014934539795,0.4372565746307373,0.897489539748954,0.9618320610687023,0.7411764705882353,0.8372093023255814,0.9564600833278664,0.9047211199549199,0.897489539748954,0.8939003347726006
1,1.029996633529663,0.44831085205078125,0.899581589958159,0.9669421487603306,0.7267080745341615,0.8297872340425533,0.9439187613532711,0.9071289915046207,0.899581589958159,0.895439491684236
2,0.9290997982025146,0.4738945960998535,0.9246861924686193,0.9782608695652174,0.8035714285714286,0.8823529411764706,0.9612606927296444,0.9294133698594956,0.9246861924686193,0.9227323501012893
3,1.013091802597046,0.6876819133758545,0.899581589958159,0.9097222222222222,0.7891566265060241,0.8451612903225806,0.9482956447513706,0.9002495357959117,0.899581589958159,0.8977282670603529
4,0.9999575614929199,0.45986247062683105,0.893305439330544,0.9230769230769231,0.72,0.8089887640449438,0.9327307697621855,0.8960269323045896,0.893305439330544,0.8892670499482148

SVM,,,,,,,,,,
0,1.2150628566741943,0.5525753498077393,0.9393305439330544,0.9548387096774194,0.8705882352941177,0.9107692307692308,0.9581113415859677,0.9400507373886751,0.9393305439330544,0.9386515903713154
1,1.0972321033477783,0.5489518642425537,0.9184100418410042,0.9178082191780822,0.8322981366459627,0.8729641693811074,0.943668843641643,0.9183828510580407,0.9184100418410042,0.9173596749890806
2,1.1910481452941895,0.6263236999511719,0.9330543933054394,0.9,0.9107142857142857,0.9053254437869822,0.9651093440190325,0.9332690322230072,0.9330543933054394,0.9331441310061463
3,1.0990078449249268,0.5634932518005371,0.9037656903765691,0.8947368421052632,0.8192771084337349,0.8553459119496855,0.9362228538150041,0.9033779484262675,0.9037656903765691,0.9027031874016844
4,1.1053991317749023,0.48087191581726074,0.9267782426778243,0.9136690647482014,0.8466666666666667,0.8788927335640138,0.9238206270610004,0.9263528711225858,0.9267782426778243,0.9259885266354675

RandomForest,,,,,,,,,,
0,8.540446281433105,1.101569652557373,0.9121338912133892,0.9,0.8470588235294118,0.8727272727272727,0.9457629429096457,0.9117523223073077,0.9121338912133892,0.9115043925155278
1,9.028876781463623,1.421165943145752,0.9058577405857741,0.8766233766233766,0.8385093167701864,0.8571428571428571,0.9316299718275678,0.9052261339569568,0.9058577405857741,0.9053257527790652
2,7.969148874282837,0.99094557762146,0.9246861924686193,0.8975903614457831,0.8869047619047619,0.8922155688622753,0.9591929581018116,0.9245125012441138,0.9246861924686193,0.9245817853187596
3,8.612040519714355,1.0706331729888916,0.897489539748954,0.8774193548387097,0.8192771084337349,0.8473520249221184,0.9238372992125033,0.8968060349996886,0.897489539748954,0.8966210158700639
4,8.840564489364624,1.6527016162872314,0.8870292887029289,0.8380281690140845,0.7933333333333333,0.8150684931506849,0.9070107611066829,0.8858625953770041,0.8870292887029289,0.8861622911661549

LogisticRegression,,,,,,,,,,
