Scenario 1,,,,,,,,,,
NaiveBayes,,,,,,,,,,
,fit_time,score_time,test_accuracy,test_precision,test_recall,test_f1,test_average_precision,test_precision_weighted,test_recall_weighted,test_f1_weighted
0,15.10126925,2.603596449,0.9734375,0.96503918,0.983415233,0.974140554,0.996733528,0.973606447,0.9734375,0.973430499
1,12.07920837,2.433634281,0.9759375,0.969461078,0.984194529,0.976772247,0.997630001,0.976043324,0.9759375,0.975930735
2,10.33737087,2.27397275,0.97,0.953163017,0.988020177,0.970278638,0.997603845,0.9706276,0.97,0.969994902
3,10.99204922,2.570407629,0.9715625,0.95934466,0.985046729,0.972025822,0.997523104,0.97190101,0.9715625,0.971556169
4,11.08380914,3.156374693,0.9703125,0.954933009,0.986784141,0.970597338,0.997302671,0.970835679,0.9703125,0.970307736
5,11.47534966,2.72058773,0.9721875,0.962195122,0.98317757,0.97257319,0.997119084,0.972411688,0.9721875,0.972183221
6,11.43719554,2.200379372,0.973125,0.96107056,0.986267166,0.973505853,0.997902848,0.973450377,0.973125,0.973119928
7,11.31932235,2.821913719,0.97125,0.958732057,0.985854859,0.972104306,0.997283854,0.971626849,0.97125,0.971237331
8,11.95445871,3.666067839,0.9759375,0.960024984,0.991612903,0.975563313,0.996985529,0.976445029,0.9759375,0.975943374
9,15.40423036,2.651503801,0.97,0.955307263,0.984644914,0.969754253,0.996137902,0.970443833,0.97,0.970003656
,121.1842635,,0.972375,0.959927093,0.985901822,0.972731551,,,,
SVM,,,,,,,,,,
0,56.34389639,7.565485716,0.976875,0.982009926,0.972358722,0.977160494,0.996579613,0.976926737,0.976875,0.976876446
1,64.20099282,5.241498709,0.976875,0.982790412,0.972036474,0.977383863,0.996837895,0.976942691,0.976875,0.976877928
2,61.25955653,6.535610914,0.9840625,0.984838913,0.98297604,0.983906595,0.997847845,0.98406394,0.9840625,0.984062355
3,74.64751244,8.367376089,0.978125,0.981795355,0.974454829,0.97811132,0.997722685,0.978152408,0.978125,0.978124949
4,63.41063023,6.427238703,0.976875,0.980952381,0.972309629,0.976611884,0.997681804,0.976910128,0.976875,0.976873862
5,74.58430362,8.21631217,0.9784375,0.981806775,0.975077882,0.97843076,0.997514629,0.978460577,0.9784375,0.978437477
6,71.16867781,6.73281312,0.9815625,0.984915148,0.97815231,0.98152208,0.997735437,0.981585421,0.9815625,0.981562361
7,62.76709461,5.244867086,0.9796875,0.981492906,0.978474785,0.979981521,0.997914971,0.979693217,0.9796875,0.979687966
8,53.47010684,5.249965906,0.9796875,0.981829981,0.976129032,0.978971207,0.99692306,0.979699123,0.9796875,0.979685552
9,51.18422127,5.057504416,0.978125,0.97821909,0.97696737,0.97759283,0.997494498,0.978125115,0.978125,0.978124675
,633.0369926,,0.97903125,0.982065089,0.975893707,0.978967255,,,,
RandomForest,,,,,,,,,,
0,211.0939314,6.610330105,0.9565625,0.95313451,0.961916462,0.95750535,0.993739574,0.956595525,0.9565625,0.95655798
1,196.7700799,6.858665705,0.95875,0.958207147,0.961702128,0.959951456,0.993154733,0.958752103,0.95875,0.958747678
2,216.0493579,6.889581203,0.9603125,0.952262864,0.968474149,0.960300094,0.995030939,0.96044945,0.9603125,0.960312605
3,191.7296252,6.755946159,0.9625,0.95468463,0.971339564,0.962940086,0.995104389,0.962639649,0.9625,0.962496103
4,209.7384851,6.76790905,0.9571875,0.951492537,0.962869729,0.957147326,0.99403879,0.957255468,0.9571875,0.957187738
5,208.2283692,6.601349592,0.9596875,0.950549451,0.970093458,0.960222017,0.993926138,0.959880557,0.9596875,0.959681913
6,213.1462681,6.635261536,0.9646875,0.958718423,0.971285893,0.96496124,0.995379909,0.964766987,0.9646875,0.964685689
7,192.7438328,6.786859512,0.960625,0.955097087,0.96801968,0.961514966,0.994940334,0.96070336,0.960625,0.960618737
8,200.1608794,6.625288725,0.965,0.957961783,0.970322581,0.964102564,0.994612032,0.965086358,0.965,0.965005472
9,193.3810673,7.824085951,0.964375,0.955947137,0.971849008,0.963832487,0.993797773,0.964511018,0.964375,0.964379343
,2033.041896,,0.96096875,0.954805557,0.967787265,0.961247759,,,,
LogisticRegression,,,,,,,,,,
0,10.11407423,2.162218332,0.97,0.982367758,0.958230958,0.970149254,0.994942685,0.970306892,0.97,0.970001875
1,10.12059188,2.54918766,0.96875,0.983719474,0.955015198,0.969154843,0.995563916,0.969198244,0.96875,0.968756153
2,10.65297937,2.058498859,0.975,0.982074264,0.967213115,0.974587039,0.996722174,0.975103652,0.975,0.974996952
3,10.49875808,2.49133873,0.9703125,0.977243995,0.963239875,0.970191403,0.996561399,0.970411032,0.9703125,0.970311633
4,10.75418353,2.309826612,0.9715625,0.980744544,0.961611076,0.971083572,0.996077728,0.971735852,0.9715625,0.971557936
5,10.9446547,2.080467463,0.9728125,0.982824427,0.962616822,0.972615675,0.995846967,0.973015444,0.9728125,0.972810485
6,11.18263221,2.015580654,0.9759375,0.983512999,0.968164794,0.975778547,0.996821624,0.97605419,0.9759375,0.975936266
7,9.643796444,2.341739655,0.97375,0.984296482,0.963714637,0.97389683,0.99721831,0.973972998,0.97375,0.973751569
8,9.97938776,2.353709221,0.971875,0.976501305,0.96516129,0.970798183,0.995833296,0.971924924,0.971875,0.971869158
9,10.92100167,2.468370199,0.9678125,0.976501305,0.957133717,0.966720517,0.996304267,0.967973983,0.9678125,0.967802257
,104.8120599,,0.97178125,0.980978656,0.962210148,0.971497586,,,,
,,,,,,,,,,
Scenario 3,,,,,,,,,,
NaiveBayes,,,,,,,,,,
0,22.7003336,4.565795422,0.9625,0.9648582,0.961302211,0.963076923,0.992971775,0.962508967,0.9625,0.962501099
1,20.92015433,4.527864456,0.9646875,0.961445783,0.970212766,0.96580938,0.995954904,0.964719075,0.9646875,0.964682063
2,20.67382884,4.692424774,0.9628125,0.954742715,0.970996217,0.962800875,0.994157329,0.962949793,0.9628125,0.962812598
3,20.73858738,4.839038849,0.961875,0.951858623,0.973208723,0.96241528,0.994787002,0.962106295,0.961875,0.961868833
4,21.21532607,4.832083464,0.961875,0.952498458,0.971680302,0.961993769,0.994296068,0.962065025,0.961875,0.961873809
5,21.23124337,4.711405754,0.9653125,0.959975369,0.971339564,0.965624032,0.994307819,0.965376844,0.9653125,0.965310633
6,21.18725419,4.785178185,0.96125,0.95617284,0.966916355,0.961514587,0.995078192,0.961307841,0.96125,0.961248501
7,21.24520802,4.606968164,0.9621875,0.955784373,0.970479705,0.963075984,0.994605893,0.962290843,0.9621875,0.962180388
8,21.04673743,4.625636578,0.9665625,0.955780164,0.976129032,0.965847431,0.99414672,0.966782548,0.9665625,0.966569723
9,20.80644441,4.745320797,0.9571875,0.950126263,0.962891875,0.956466476,0.991755291,0.957279261,0.9571875,0.957192155
,211.7651176,,0.962625,0.956324279,0.969515675,0.962862474,,,,
SVM,,,,,,,,,,
0,76.97726393,7.710390091,0.9603125,0.970532915,0.950859951,0.960595718,0.99188588,0.960522639,0.9603125,0.960315442
1,64.42178988,7.613645315,0.960625,0.96969697,0.953191489,0.961373391,0.994251034,0.960785464,0.960625,0.960631678
2,82.05217123,7.673490047,0.9615625,0.969813744,0.952080706,0.960865415,0.993544166,0.96170814,0.9615625,0.961556293
3,79.67532253,10.21677041,0.960625,0.967741935,0.953271028,0.960451977,0.993876744,0.960730501,0.960625,0.960623708
4,80.88747311,7.886494875,0.9609375,0.969230769,0.95154185,0.960304859,0.993568772,0.961084149,0.9609375,0.960931857
5,66.79168272,7.819390535,0.965,0.972169513,0.957632399,0.964846202,0.992828399,0.965106281,0.965,0.964998852
6,78.28448248,7.857599497,0.964375,0.969104666,0.959425718,0.964240903,0.993876294,0.964421886,0.964375,0.964374332
7,78.48949695,7.966406822,0.9603125,0.967560823,0.953874539,0.960668938,0.994287868,0.96041689,0.9603125,0.960315085
8,69.27300501,7.992824554,0.965625,0.971204188,0.957419355,0.964262508,0.993225247,0.96569841,0.965625,0.965615977
9,78.36897445,7.855571032,0.9534375,0.961488251,0.942418426,0.951857835,0.992112055,0.953587124,0.9534375,0.953422683
,755.2216623,,0.96128125,0.968854378,0.953171546,0.960946775,,,,
